,question,answer,tags
0,1 What is the Central Limit Theorem and why is it important?,"https://spinatomicobjectcom/2015/02/12/central-limit-theorem-intro/
Suppose that we are interested in estimating the average height among all people Collecting data for every person in the world is impractical, bordering on impossible While we cant obtain a height measurement from everyone in the population, we can still sample some people The question now becomes, what can we say about the average height of the entire population given a single sample
The Central Limit Theorem addresses this question exactly Formally, it states that if we sample from a
EX:
As we can see, the distribution is pretty ugly It certainly isnt normal, uniform, or any other commonly known distribution In order to sample from the above distribution, we need to define a sample size, referred to as N This is the number of observations that we will sample at a time Suppose that we choose N to be 3 This means that we will sample in groups of 3 So for the above population, we might sample groups such as [5, 20, 41], [60, 17, 82], [8, 13, 61], and so on
Suppose that we gather 1,000 samples of 3 from the above population For each sample, we can compute its average If we do that, we will have 1,000 averages This set of 1,000 averages is called a sampling distribution, and according to Central Limit Theorem, the sampling distribution will approach a normal distribution as the sample size N used to produce it increases Here is what our sample distribution looks like for N = 3
population using a sufficiently large sample size, the mean of the samples (also known as the sample population) will be normally distributed (assuming true random sampling), the mean tending to the mean of the population and variance equal to the variance of the population divided by the size of the sampling Whats especially important is that this will be true regardless of the distribution of the original
population
As we can see, it certainly looks uni-modal, though not necessarily normal If we repeat the same process with a larger sample size, we should see the sampling distribution start to become more normal Lets repeat the same process again with N = 10 Here is the sampling distribution for that sample size",[]
1,2 What is sampling? How many sampling methods do you know?,"https://searchbusinessanalyticstechtargetcom/definition/data-sampling https://nikolanewscom/difference-between-stratified-sampling-cluster-sampling-and-quota-sampling/
It enables data scientists, predictive modelers and other data analysts to work with a small, manageable amount of data about a statistical population to build and run analytical models more quickly, while still producing
accurate findings
Data sampling is a statistical analysis technique used to select, manipulate and analyze a representative
subset of data points to identify patterns and trends in the larger data set being examined
Sampling can be particularly useful with data sets that are too large to efficiently analyze in full  for example, in big data analytics applications or surveys Identifying and analyzing a representative sample is more efficient and cost-effective than surveying the entirety of the data or population
An important consideration, though, is the size of the required data sample and the possibility of introducing a sampling error In some cases, a small sample can reveal the most important information about a data set In others, using a larger sample can increase the likelihood of accurately representing the data as a whole, even though the increased size of the sample may impede ease of manipulation and interpretation
There are many different methods for drawing samples from data; the ideal one depends on the data set and situation Sampling can be
Further variations in probability sampling include:
Simple random sampling: Software is used to randomly select subjects from the whole population
Stratified sampling: Subsets of the data sets or population are created based on a common factor, and samples are randomly collected from each subgroup A sample is drawn from each strata
o EX: In the image below, let's say you need a sample size of 6 Two members from each group (yellow, red, and blue) are selected randomly Make sure to sample proportionally: In this simple example, 1/3 of each group (2/6 yellow, 2/6 red and 2/6 blue) has been sampled If you have one group that's a different size, make sure to adjust your proportions For example, if you had 9 yellow, 3 red and 3 blue, a 5-item sample would consist of 3/9 yellow (ie one third), 1/3 red and 1/3 blue
Cluster sampling: The larger data set is divided into subsets (clusters) based on a defined factor, then a random sampling of clusters is analyzed The sampling unit is the whole cluster; Instead of sampling individuals from within each group, a researcher will study whole clusters
o EX: In the image below, the strata are natural groupings by head color (yellow, red, blue) A sample size of 6 is needed, so two of the complete strata are selected randomly (in this example, groups 2 and 4 are chosen)
Multistage sampling: A more complicated form of cluster sampling, this method also involves dividing the larger population into a number of clusters Second-stage clusters are then broken out based on a secondary factor, and those clusters are then sampled and analyzed This staging could continue as multiple subsets are identified, clustered and analyzed
Systematic sampling: A sample is created by setting an interval at which to extract data from the larger population  for example, selecting every 10th row in a spreadsheet of 200 items to create a sample size of 20 rows to analyze
based on probability, an approach that uses random numbers that
correspond to points in the data set to ensure that there is no correlation between points chosen for the
sample
Sampling can also be
As inclusion is determined by the analyst, it can be more difficult to extrapolate whether the sample accurately represents the larger population than when
probability sampling is used
Non-probability data sampling methods include:
Convenience sampling: Data is collected from an easily accessible and available group
Consecutive sampling: Data is collected from every subject that meets the criteria until the
predetermined sample size is met
Purposive or judgmental sampling: The researcher selects the data to sample based on predefined
criteria
uota sampling: The researcher ensures equal representation within the sample for all subgroups
in the data set or population (random sampling is not used)
Once generated, a sample can be used for predictive analytics For example, a retail business might use data sampling to uncover patterns about customer behavior and predictive modeling to create more effective sales strategies",[]
2,3 What is the difference between type I vs type II error?,"https://wwwdatasciencecentralcom/profiles/blogs/understanding-type-i-and-type-ii-errors
Is Ha true? No, H0 is True (Ha is Negative: TN); Yes, H0 is False (Ha is Positive: TP)",[]
3,"4 What is linear regression? What do the terms p-value, coefficient, and r- squared value mean? What is the significance of each of these components?","based on non-probability, an approach in which a data sample is determined and
extracted based on the judgment of the analyst
A type I error occurs when the null hypothesis is true but is rejected A type II error occurs when the null
hypothesis is false but erroneously fails to be rejected
No reject H0 Reject H0
H0 is True
TN
FP (I error)
H0 is False
FN (II error)
TP
https://wwwspringboardcom/blog/linear-regression-in-python-a-tutorial/ https://blogminitabcom/blog/adventures-in-statistics-2/how-to-interpret-regression-analysis-results-p- values-and-coefficients
Imagine you want to predict the price of a house That will depend on some factors, called independent variables, such as location, size, year of construction if we assume there is a linear relationship between these variables and the price (our dependent variable), then our price is predicted by the following function:
The p-value in the table is the minimum  (the significance level) at which the coefficient is relevant The lower the p-value, the more important is the variable in predicting the price Usually we set a 5% level, so that we have a 95% confidentiality that our variable is relevant
The p-value is used as an alternative to rejection points to provide the smallest level of significance at which the null hypothesis would be rejected A smaller p-value means that there is stronger evidence in favor of the alternative hypothesis
The coefficient value signifies how much the mean of the dependent variable changes given a one-unit shift in the independent variable while holding other variables in the model constant This property of holding the other variables constant is crucial because it allows you to assess the effect of each variable in isolation from the others
R squared (R2) is a statistical measure that represents the proportion of the variance for a dependent variable that's explained by an independent variable or variables in a regression model",[]
4,5 What are the assumptions required for linear regression?,"There are four major assumptions:
There is a linear relationship between the dependent variables and the regressors, meaning the model you are creating actually fits the data,
The errors or residuals (  ) of the data are normally distributed and independent from each other,
There is minimal multicollinearity between explanatory variables, and
Homoscedasticity This means the variance around the regression line is the same for all values
of the predictor variable",[]
5,6 What is a statistical interaction?,"http://icbseverywherecom/blog/mini-lessons-tutorials-and-support-pages/statistical-interactions/
Basically, an interaction is when the effect of one factor (input variable) on the dependent variable (output variable) differs among levels of another factor When two or more independent variables are involved in a research design, there is more to consider than simply the ""main effect"" of each of the independent variables (also termed ""factors"") That is, the effect of one independent variable on the dependent variable of interest may not be the same at all levels of the other independent variable Another way to put this is that the effect of one independent variable may depend on the level of the other independent variable In order to find an interaction, you must have a factorial design, in which the two (or more)
independent variables are ""crossed"" with one another so that there are observations at every combination of levels of the two independent variables EX: stress level and practice to memorize words: together they may have a lower performance",[]
6,7 What is selection bias?,"https://wwwelderresearchcom/blog/selection-bias-in-analytics
Selection (or sampling) bias occurs when the sample data that is gathered and prepared for modeling has characteristics that are not representative of the true, future population of cases the model will see That is, active selection bias occurs when a subset of the data is systematically (ie, non-randomly) excluded from analysis",[]
7,8 What is an example of a data set with a non-Gaussian distribution?,"https://wwwquoracom/Most-machine-learning-datasets-are-in-Gaussian-distribution-Where-can-we-find- the-dataset-which-follows-Bernoulli-Poisson-gamma-beta-etc-distribution
The Gaussian distribution is part of the Exponential family of distributions, but there are a lot more of them, with the same sort of ease of use, in many cases, and if the person doing the machine learning has a solid grounding in statistics, they can be utilized where appropriate
Binomial: multiple toss of a coin Bin(n,p):
Bernoulli: Bin(1,p) = Be(p) Poisson: Pois()
the binomial distribution consists of the probabilities of each of
the possible numbers of successes on n trials for independent events that each have a probability of p of
occurring
Data Science
Data Science is a blend of various tools, algorithms, and machine learning principles with the goal to discover hidden patterns from the raw data How is this different from what statisticians have been doing for years? The answer lies in the difference between explaining and predicting:
posteriori, explaining the results and designing a plan; data scientists use historical data to make
The differences between supervised and unsupervised learning are:
statisticians work a
predictions
Supervised Unsupervised
Input data is labelled
Split in training/validation/test
Input data is unlabeled
Used for prediction
Used for analysis
Classification and Regression",[]
8,2 What is Selection Bias?,"No split
Clustering, dimension reduction, and density estimation
Selection bias is a kind of error that occurs when the researcher decides what has to be studied It is associated with research where the selection of participants is not random Therefore, some conclusions of the study may not be accurate
The types of selection bias include:
Sampling bias: It is a systematic error due to a non-random sample of a population causing some
members of the population to be less likely to be included than others resulting in a biased
sample
Time interval: A trial may be terminated early at an extreme value (often for ethical reasons), but
the extreme value is likely to be reached by the variable with the largest variance, even if all
variables have a similar mean
Data: When specific subsets of data are chosen to support a conclusion or rejection of bad data
on arbitrary grounds, instead of according to previously stated or generally agreed criteria
Attrition: Attrition bias is a kind of selection bias caused by attrition (loss of participants)
discounting trial subjects/tests that did not run to completion",[]
9,3 What is bias-variance trade-off?,"Low bias machine learning algorithms  Decision Trees, k-NN and SVM
High bias machine learning algorithms  Linear Regression, Logistic Regression
Bias: Bias is an error introduced in the model due to the oversimplification of the algorithm used (does
not fit the data properly) It can lead to under-fitting
Variance: Variance is error introduced in the model due to a too complex algorithm, it performs very well
in the training set but poorly in the test set It can lead to high sensitivity and overfitting
Possible high variance  polynomial regression
Normally, as you increase the complexity of your model, you will see a reduction in error due to lower bias in the model However, this only happens until a particular point As you continue to make your model more complex, you end up over-fitting your model and hence your model will start suffering from high variance
Bias-Variance trade-off: The goal of any supervised machine learning algorithm is to have low bias and low variance to achieve good prediction performance
There is no escaping the relationship between bias and variance in machine learning Increasing the bias will decrease the variance Increasing the variance will decrease bias",[]
10,4 What is a confusion matrix?,"The confusion matrix is a 2X2 table that contains 4 outputs provided by the binary classifier
Predict
Predict -
Actual
TP
FN (II error)
Actual -
FP (I error)
TN
A data set used for performance evaluation is called a test data set It should contain the correct labels and predicted labels The predicted labels will exactly the same if the performance of a binary classifier is perfect The predicted labels usually match with part of the observed labels in real-world scenarios
A binary classifier predicts all data instances of a test data set as either positive or negative This produces four outcomes: TP, FP, TN, FN Basic measures derived from the confusion matrix:",[]
11,5 What is the difference between long and wide format data?,"In the wide-format, a subjects repeated responses will be in a single row, and each response is in a separate column In the long-format, each row is a one-time point per subject You can recognize data in wide format by the fact that columns generally represent groups (variables)",[]
12,6 What do you understand by the term Normal Distribution?,"Data is usually distributed in different ways with a bias to the left or to the right or it can all be jumbled up However, there are chances that data is distributed around a central value without any bias to the left or right and reaches normal distribution in the form of a bell-shaped curve
The random variables are distributed in the form of a symmetrical, bell-shaped curve Properties of Normal Distribution are as follows:",[]
13,7 What is correlation and covariance in statistics?,"Correlation is considered or described as the best technique for measuring and also for estimating the quantitative relationship between two variables Correlation measures how strongly two variables are related Given two random variables, it is the covariance between both divided by the product of the two standard deviations of the single variables, hence always between -1 and 1
Covariance is a measure that indicates the extent to which two random variables change in cycle It explains the systematic relation between a pair of random variables, wherein changes in one variable reciprocal by a corresponding change in another variable",[]
14,8 What is the difference between Point Estimates and Confidence Interval?,"Point Estimation gives us a particular value as an estimate of a population parameter Method of Moments and Maximum Likelihood estimator methods are used to derive Point Estimators for population parameters
A confidence interval gives us a range of values which is likely to contain the population parameter The confidence interval is generally preferred, as it tells us how likely this interval is to contain the population parameter This likeliness or probability is called Confidence Level or Confidence coefficient and represented by 1  , where  is the level of significance",[]
15,9 What is the goal of A/B Testing?,"It is a hypothesis testing for a randomized experiment with two variables A and B
The goal of A/B Testing is to identify any changes to the web page to maximize or increase the outcome of interest
It can be used to test everything from website copy to sales emails to search ads An example of this could be identifying the click-through rate for a banner ad",[]
16,10 What is p-value?,"When you perform a hypothesis test in statistics, a p-value can help you determine the strength of your results p-value is the minimum significance level at which you can reject the null hypothesis The lower the p-value, the more likely you reject the null hypothesis",[]
17,12 How can you generate a random number between 1  7 with only a die?,"Any die has six sides from 1-6 There is no way to get seven equal outcomes from a single rolling of a die If we roll the die twice and consider the event of two rolls, we now have 36 different outcomes To get our 7 equal outcomes we have to reduce this 36 to a number divisible by 7 We can thus consider only 35 outcomes and exclude the other one A simple scenario can be to exclude the combination (6,6), ie, to roll the die again if 6 appears twice All the remaining combinations from (1,1) till (6,5) can be divided into 7 parts of 5 each This way all the seven sets of outcomes are equally likely",[]
18,"14 A jar has 1000 coins, of which 999 are fair and 1 is double headed Pick a coin at random and toss it 10 times Given that you see 10 heads, what is the probability that the next toss of that coin is also a head?","There are two ways of choosing the coin One is to pick a fair coin and the other is to pick the one with two heads
h h = ()  05",[]
19,15 What do you understand by statistical power of sensitivity and how do you calculate it?,"Sensitivity is commonly used to validate the accuracy of a classifier (Logistic, SVM, Random Forest etc)",[]
20,16 Why is Re-sampling done?,"https://machinelearningmasterycom/statistical-sampling-and-resampling/
Sampling is an active process of gathering observations with the intent of estimating a population variable
Resampling is a methodology of economically using a data sample to improve the accuracy and
Resampling methods, in fact, make use of a Once we have a data sample, it can be used to estimate the population parameter
This is called resampling Statistical resampling methods are procedures that describe how to economically use available data to estimate a population parameter The result can be both a more accurate estimate of the parameter (such as taking the mean of the estimates) and a quantification of the uncertainty of the estimate (such as adding a confidence interval)
Resampling methods are very easy to use, requiring little mathematical knowledge A downside of the methods is that they can be computationally very expensive, requiring tens, hundreds, or even thousands of resamples in order to develop a robust estimate of the population parameter
from which the variability of the quantiles of interest can be assessed without long- winded and error-prone analytical calculation Because this approach involves repeating the original data analysis procedure with many replicate sets of data, these are sometimes called computer-intensive methods Each new subsample from the original data sample is used to estimate the population
The sample of estimated population parameters can then be considered with statistical tools in order to quantify the expected value and variance, providing measures of the uncertainty of the estimate Statistical sampling methods can be used in the selection of a subsample from the original sample
A key difference is that process must be repeated multiple times The problem with this is that there will be some relationship between the samples as observations that will be shared across multiple subsamples This means that the subsamples and the estimated population parameters are not strictly
quantify the uncertainty of a population parameter
nested resampling method
our data sample
The problem is that
we only have a single estimate of the population parameter, with little idea of the variability or uncertainty in the estimate One way to address this is by estimating the population parameter multiple times from
The key idea is to resample form the original data  either directly or via a fitted model  to create
replicate datasets,
parameter
identical and independently distributed This has implications for statistical tests performed on the sample of estimated population parameters downstream, ie paired statistical tests may be required
Two commonly used resampling methods that you may encounter are k-fold cross-validation and the bootstrap
Bootstrap Samples are drawn from the dataset with replacement (allowing the same sample to
appear more than once in the sample), where those instances not drawn into the data sample
may be used for the test set
k-fold Cross-Validation A dataset is partitioned into k groups, where each group is given the
opportunity of being used as a held out test set leaving the remaining groups as the training set The k-fold cross-validation method specifically lends itself to use in the evaluation of predictive models that are repeatedly trained on one subset of the data and evaluated on a second held-out
subset of the data
Resampling is done in any of these cases:
Estimating the accuracy of sample statistics by using subsets of accessible data or drawing
randomly with replacement from a set of data points
Substituting labels on data points when performing significance tests
Validating models by using random subsets (bootstrapping, cross-validation)",[]
21,17 What are the differences between over-fitting and under-fitting?,"In statistics and machine learning, one of the most common tasks is to fit a model to a set of training data, so as to be able to make reliable predictions on general untrained data
In overfitting, a statistical model describes random error or noise instead of the underlying relationship Overfitting occurs when a model is excessively complex, such as having too many parameters relative to the number of observations A model that has been overfitted, has poor predictive performance, as it overreacts to minor fluctuations in the training data
Underfitting occurs when a statistical model or machine learning algorithm cannot capture the underlying trend of the data Underfitting would occur, for example, when fitting a linear model to non-linear data Such a model too would have poor predictive performance",[]
22,18 How to combat Overfitting and Underfitting?,To combat overfitting:,[]
23,19 What is regularization? Why is it useful?,"This is most often done by adding a constant multiple to an existing weight vector This constant is often the L1 (Lasso - ||) or L2 (Ridge - ) The model predictions should then
minimize the loss function calculated on the regularized training set",[]
24,20 What Is the Law of Large Numbers?,"It is a theorem that describes the result of performing the same experiment a large number of times This theorem forms the basis of frequency-style thinking It says that the sample means, the sample variance and the sample standard deviation converge to what they are trying to estimate According to the law, the average of the results obtained from a large number of trials should be close to the expected value and will tend to become closer to the expected value as more trials are performed",[]
25,21 What Are Confounding Variables?,"In statistics, a confounder is a variable that influences both the dependent variable and independent variable
If you are researching whether a lack of exercise leads to weight gain:
lack of exercise = independent variable
weight gain = dependent variable
A confounding variable here would be any other variable that affects both of these variables, such as the age of the subject",[]
26,22 What Are the Types of Biases That Can Occur During Sampling?,"This can lead to wrong conclusions in
numerous different means For example, during a recession you look just at the survived businesses, noting
To combat underfitting:
Regularization is the process of adding tuning parameter (penalty term) to a model to induce smoothness
in order to prevent overfitting
a Selection bias
b Under coverage bias
c Survivorship bias
It is the logical error of focusing aspects that support surviving some process and casually overlooking
those that did not work because of their lack of prominence
that they are performing poorly However, they perform better than the rest, which is failed, thus being removed from the time series",[]
27,23 What is Survivorship Bias?,"https://stattrekcom/survey-research/survey-biasaspx
For instance, you select only Asians to perform a study on the world population height
A classic example of under coverage is the Literary Digest voter survey, which predicted that Alfred Landon would beat Franklin Roosevelt in the 1936 presidential election The survey sample suffered from under coverage of low-income voters, who tended to be Democrats
How did this happen? The survey relied on a convenience sample, drawn from telephone directories and car registration lists In 1936, people who owned cars and telephones tended to be more affluent Under coverage is often a problem with convenience samples",[]
28,24 What is Selection Bias? What is under coverage bias?,"It is often used as a proxy for the trade-off between the sensitivity (true positive rate) and false positive rate
Selection bias occurs when the sample obtained is not representative of the population intended to be
analyzed
Under coverage bias occurs when some members of the population are inadequately represented in the
sample
The ROC curve is a graphical representation of the contrast between true positive rates and false positive
rates at various thresholds",[]
29,26 What is TF/IDF vectorization?,"factor in information retrieval and text mining
It is often used as a weighting
TF-IDF is short for term frequency-inverse document frequency, is a numerical statistic that is intended to
reflect how important a word is to a document in a collection or corpus
The TF-IDF value increases proportionally to the number of times a word appears in the document but is offset by the frequency of the word in the corpus, which helps to adjust for the fact that some words appear more frequently in general",[]
